"","uid","namedLocation","plotType","sampleID","sampleCode","ligninSampleID","ligninSampleBarcode","collectDate","analysisDate","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"1","4fab0cd1-d625-497a-98e7-28bcb002eca5","SRER_047.basePlot.cfc","tower","jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFenw1hIgzeg=","A00000279758","jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFTH1qTCz/45sq/S7Soxj+A==","A00000279984",2021-08-17 15:22:00,2021-12-20,1,0.499,5.87,8.39,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"2","af2572ec-224e-44fb-9abf-230e12d14fdf","SRER_047.basePlot.cfc","tower","jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJB6Ci1OTBR5A=","A00000279759","jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJ2rEEZQvdfXZ1RXAiFVSMEQ==","A00000279986",2021-08-17 16:46:00,2021-12-20,1,0.487,7.02,9.86,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"3","9f58ac9f-5f6e-4163-a0e5-b3d351adc874","SRER_045.basePlot.cfc","tower","jf4sOIyMYqxBbpNkmDSys/+giwkirbfKwrr/J7eB5Jk=","A00000279766","jf4sOIyMYqxBbpNkmDSys/+giwkirbfKFocjKTxqENSgGBDmi0AK+Q==","A00000279937",2021-08-17 17:46:00,2021-12-20,1,0.471,6.52,11.95,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"4","78c9c4dc-bbe8-44ae-b7a1-17371804d118","SRER_058.basePlot.cfc","tower","jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8uiq/gpGl+os=","A00000279896","jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8w94PkZzTCNQ=","A00000279938",2021-08-17 18:24:00,2021-12-20,1,0.494,7.94,14.8,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"5","b18436d9-ee5c-4f45-9a8d-f914e460f57b","SRER_002.basePlot.cfc","distributed","jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKaggPobynB6Q=","A00000279747","jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKEBgwZYjig36RjI7fIqg4Zg==","A00000279969",2021-08-18 16:14:00,2021-12-20,1,0.463,10.84,15.19,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"6","b189cc01-d098-48b7-a4d6-1fbe7e087fa9","SRER_002.basePlot.cfc","distributed","jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHal6KSBbdulf6M=","A00000279750","jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHalMFoKMXA7UhI=","A00000279936",2021-08-18 17:40:00,2021-12-20,1,0.466,16.09,12.1,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"7","5dc73cd2-3dd2-468a-963b-5d8a4ada1d15","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqy/4wkyZKATbpcA8btE7eSdZmm0fQFqCEI=","A00000279751","jf4sOIyMYqy/4wkyZKATbpcA8btE7eSdFWbvjQHkOcg=","A00000279918",2021-08-19 16:03:00,2021-12-20,1,0.483,16.11,13.85,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"8","cbc2f3f8-8312-4118-8a55-ce8367e4aa17","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqxqeekqhgoxM61l4eLbkTd+g9s4RQFZ5qM=","A00000279748","jf4sOIyMYqxqeekqhgoxM61l4eLbkTd+43IrGRdHP2glKPIXv8OOCw==","A00000279903",2021-08-19 16:44:00,2021-12-20,1,0.473,14.61,14.1,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"9","1e904c67-f46f-4a3c-95b6-ea4f9dd4d980","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqx6WrAE2n7QNdbMY3sEN7tn1uyga746RfI=","A00000279892","jf4sOIyMYqx6WrAE2n7QNdbMY3sEN7tnG/IGuBSNWRTXFTmgQoGenQ==","A00000279950",2021-08-19 17:34:00,2021-12-20,1,0.476,4.76,8.35,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"10","c4644de9-3f79-4351-a8ac-f8159bec2d11","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDzPBkrPRbNJ98=","A00000279895","jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDzZgTiXkhqkYY=","A00000279810",2021-08-23 15:14:00,2021-12-20,1,0.486,14.22,30.3,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"11","8d9765f5-20a2-4890-9241-8140c4309e62","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyjZ9X7sKVR9WbW9tfoIlNgluZuqN3i2yk=","A00000279770","jf4sOIyMYqyjZ9X7sKVR9WbW9tfoIlNgOLFj9/udv/x6mBGXx2A50A==","A00000279932",2021-08-23 15:35:00,2021-12-20,1,0.5,4.59,7.41,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"12","cd03d386-27e1-4304-ada7-51f5fa4bf652","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqwChBBhHdmN/wScOWPDeljSx5v5Km1oBmE=","A00000279752","jf4sOIyMYqwChBBhHdmN/wScOWPDeljSiUyWiq7QDCQ=","A00000279949",2021-08-23 15:46:00,2021-12-20,1,0.465,12.14,12.58,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"13","70010e74-d915-4771-8300-f918f49bcf70","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vGPWp7M9YaVU=","A00000279886","jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vRXCH9y7HgacNfTN9dRcfJw==","A00000279994",2021-08-23 16:06:00,2021-12-20,1,0.501,3.14,6.82,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"14","a76cdf72-b872-4fee-9a5f-e328b62b08af","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyjZ9X7sKVR9U623BPgOeXOl4iPotUNw4w=","A00000279771","jf4sOIyMYqyjZ9X7sKVR9U623BPgOeXOMPVja9k+W1X2+VqYVBf3Tg==","A00000279976",2021-08-23 16:35:00,2021-12-20,1,0.474,6.99,9.96,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"15","b5750b1d-c9b0-4a06-a574-9fa5c389588d","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iDPT05w3J3eNM=","A00000279711","jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iDm8sJa/iH3n8=","A00000280218",2021-08-23 16:52:00,2021-12-20,1,0.5,1.32,13.14,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"16","6bb3c968-d470-40fd-a264-cbf2c359701c","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/SZYkuqpjvdk=","A00000279773","jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/MvD35tKS7jJTfnPzXk6a6Q==","A00000279946",2021-08-23 17:07:00,2021-12-20,1,0.478,10.02,10.63,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"17","27472259-36ca-4cd8-b39a-03b1964ed64c","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LCq3qPCer7AAM=","A00000279893","jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LCQb+xRRlVZ/2DrSjfnzSmsQ==","A00000280213",2021-08-23 17:37:00,2021-12-20,1,0.487,2.6,13.12,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"18","5825ae78-efaf-4d15-bd11-0f9d5b29dae3","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcXJ22P381QjQ=","A00000279774","jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcC6yKtpEZYgzP+gvIgHjlLA==","A00000279948",2021-08-23 17:39:00,2021-12-20,1,0.489,8.45,11.46,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
"19","03115e06-794c-4d47-844d-2cae1981f3f8","SRER_007.basePlot.cfc","distributed","jf4sOIyMYqxF0fkovBPluXfO4/oLy0qDYPFS9Fbcaxk=","A00000279760","jf4sOIyMYqxF0fkovBPluXfO4/oLy0qDD3SVYccxvB44O1i89oM6Fg==","A00000279929",2021-08-24 14:38:00,2021-12-20,1,0.47,1.76,6.97,"OK","OK",NA,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20240104T230557Z","RELEASE-2024"
